"weight"|"lat"|"lon"|"Location"|Create Date|Closed Date|Due Date|CaseType|Case Number         
1|29.53088025|-95.16657985|2723 PIRATES GOLD, UNINCORPORATED TX 77546|2017-09-28 13:34:48.383|                   NULL|2017-10-02 13:34:48.000|Flooding|        101002774454
1|29.54594436|-95.13874204|16159 PIPERS VIEW, HOUSTON TX 77598|2017-09-10 09:18:12.690|2017-09-15 08:40:12.780|2017-09-14 09:18:12.000|Flooding|        101002743511
1|29.54594436|-95.13874204|16159 PIPERS VIEW, HOUSTON TX 77598|2017-10-16 14:36:14.733|2017-10-18 15:10:14.927|2017-10-20 14:36:14.000|Flooding|        101002793417
1|29.54605566|-95.13887932|16155 PIPERS VIEW, HOUSTON TX 77598|2017-09-10 08:57:14.103|2017-09-12 07:55:13.903|2017-09-14 08:57:13.000|Flooding|        101002743501
1|29.54610221|-95.13844735|334 WEDGEROCK, HOUSTON TX 77598|2017-10-18 18:09:18.600|2017-10-19 15:45:20.740|2017-10-22 18:09:18.000|Flooding|        101002796356
1|29.54627817|-95.13916035|16147 PIPERS VIEW, HOUSTON TX 77598|2017-09-10 09:27:34.527|2017-09-15 08:35:07.670|2017-09-14 09:27:34.000|Flooding|        101002743516
1|29.54707061|-95.138361|355 WEDGEROCK, HOUSTON TX 77598|2017-10-23 09:10:04.690|2017-10-26 10:35:05.423|2017-10-27 09:10:04.000|Flooding|        101002799944
1|29.55219661|-95.09426872|Intersection 1400 2ND ST&17900 SATURN LN|2017-08-28 18:24:58.183|2017-09-04 14:50:06.877|2017-09-01 18:24:58.000|Flooding|        101002725373
1|29.55398216|-95.14440126|15739 CASTORGLEN, HOUSTON TX 77598|2017-09-25 08:11:46.050|2017-10-11 15:00:16.537|2017-09-29 08:11:45.000|Flooding|        101002768407
1|29.5561828|-95.12580235|855 VOYAGER, HOUSTON TX 77062|2017-09-18 16:18:03.873|2017-09-20 08:00:12.767|2017-09-22 16:18:03.000|Flooding|        101002758286
1|29.5564315|-95.11880512|1055 BAY AREA, HOUSTON TX 77062|2017-08-29 10:27:48.200|2017-09-05 08:55:12.253|2017-09-02 10:27:47.000|Flooding|        101002726167
1|29.55954121|-95.12168035|16530 DIANA, HOUSTON TX 77062|2017-08-27 01:16:29.530|2017-09-04 15:55:11.193|2017-08-31 01:16:29.000|Flooding|        101002721726
1|29.5612539|-95.10875663|16803 HOLLY TRAIL, HOUSTON TX 77058|2017-09-21 13:45:22.997|2017-09-25 15:45:14.343|2017-09-25 13:45:22.000|Flooding|        101002764575
1|29.56324193|-95.14706666|534 PENCE, HOUSTON TX 77598|2017-09-20 05:17:32.073|2017-09-25 15:20:13.783|2017-09-24 05:17:31.000|Flooding|        101002761395
1|29.56554751|-95.10952206|1906 PEPPER HILL, HOUSTON TX 77058|2017-09-20 07:12:27.730|2017-09-25 15:20:13.820|2017-09-24 07:12:27.000|Flooding|        101002761452
1|29.56854298|-95.14472976|38 OAK HARBOR, HOUSTON TX 77062|2017-08-26 08:59:10.867|2017-08-26 14:50:07.740|2017-08-30 08:59:10.000|Flooding|        101002720547
1|29.57027311|-95.1505133|695 PINELOCH, HOUSTON TX 77598|2017-08-27 03:03:04.830|2017-09-05 07:35:11.743|2017-08-31 03:03:04.000|Flooding|        101002721847
1|29.57138982|-95.13788819|15427 PEERMONT, HOUSTON TX 77062|2017-09-08 09:52:22.060|2017-09-11 09:40:24.947|2017-09-12 09:52:21.000|Flooding|        101002740864
1|29.57623224|-95.15479492|14134 GALVESTON, HOUSTON TX 77598|2017-09-19 13:54:37.023|2017-09-21 07:50:12.160|2017-09-23 13:54:36.000|Flooding|        101002760396
1|29.57688196|-95.15043573|814 PRAIRIE BROOK, HOUSTON TX 77062|2017-09-13 12:05:14.543|2017-09-15 15:05:14.590|2017-09-17 12:05:14.000|Flooding|        101002749520
1|29.57703765|-95.51696238|17103 QUAIL BEND, HOUSTON TX 77489|2017-09-01 11:17:48.080|2017-09-04 13:25:11.790|2017-09-05 11:17:47.000|Flooding|        101002730625
1|29.57770035|-95.22172315|10218 SAGECOURT, UNINCORPORATED TX 77089|2017-08-27 02:02:10.500|2017-09-04 16:30:11.513|2017-08-31 02:02:10.000|Flooding|        101002721779
1|29.58310779|-95.45683457|16602 W RIPPLE RIDGE, HOUSTON TX 77053|2017-08-29 08:52:37.567|2017-09-04 16:10:11.477|2017-09-02 08:52:36.000|Flooding|        101002726004
1|29.5849151|-95.19455212|12519 COOPERSTOWN, HOUSTON TX 77089|2017-08-27 09:46:35.740|2017-09-01 14:00:19.870|2017-08-31 09:46:35.000|Flooding|        101002722538
1|29.58500699|-95.22785468|11307 SAGECANYON, HOUSTON TX 77089|2017-09-18 08:50:58.313|2017-09-20 08:00:12.063|2017-09-22 08:50:58.000|Flooding|        101002756805
1|29.58502462|-95.19670702|12506 NEW ROCHELLE, HOUSTON TX 77089|2017-08-27 09:54:36.253|2017-09-01 14:00:20.143|2017-08-31 09:54:35.000|Flooding|        101002722563
1|29.58506037|-95.45248369|16202 PURPLERIDGE, HOUSTON TX 77053|2017-08-27 14:02:23.560|2017-09-04 14:30:06.767|2017-08-31 14:02:23.000|Flooding|        101002723094
1|29.58570812|-95.1950897|12222 NEW BRUNSWICK, HOUSTON TX 77089|2017-08-27 06:30:09.323|2017-09-01 14:00:19.493|2017-08-31 06:30:06.000|Flooding|        101002722135
1|29.58570888|-95.19545908|12526 ADIRONDACK, HOUSTON TX 77089|2017-08-27 05:33:17.057|2017-09-01 14:00:19.090|2017-08-31 05:33:16.000|Flooding|        101002722044
1|29.58621242|-95.45022691|4642 RIDGEROD, HOUSTON TX 77053|2017-09-05 12:30:18.670|2017-09-08 07:05:13.587|2017-09-09 12:30:18.000|Flooding|        101002735288
1|29.58650548|-95.19315218|12706 COOPERSTOWN, HOUSTON TX 77089|2017-09-22 10:20:41.033|2017-09-26 08:30:19.097|2017-09-26 10:20:40.000|Flooding|        101002765812
1|29.58679171|-95.19286505|12714 COOPERSTOWN, HOUSTON TX 77089|2017-08-27 03:26:04.597|2017-09-01 14:00:18.993|2017-08-31 03:26:03.000|Flooding|        101002721876
1|29.58679611|-95.19158326|12314 FAIRBURY, HOUSTON TX 77089|2017-09-06 10:56:18.910|2017-09-08 08:00:15.660|2017-09-10 10:56:18.000|Flooding|        101002737120
1|29.58772458|-95.19144441|12338 FLUSHING MEADOWS, HOUSTON TX 77089|2017-08-27 06:49:49.897|2017-09-01 14:00:19.380|2017-08-31 06:49:49.000|Flooding|        101002722160
1|29.58786821|-95.20141715|11907 RHINEBECK, HOUSTON TX 77089|2017-09-06 18:43:44.400|2017-09-11 09:45:14.573|2017-09-10 18:43:44.000|Flooding|        101002738189
1|29.58789395|-95.19162189|12235 FAIRBURY, HOUSTON TX 77089|2017-08-27 13:21:51.453|2017-09-01 14:00:19.993|2017-08-31 13:21:50.000|Flooding|        101002723009
1|29.58793521|-95.19605061|12102 SHERRILL, HOUSTON TX 77089|2017-08-27 02:39:18.710|2017-09-01 14:45:17.250|2017-08-31 02:39:18.000|Flooding|        101002721818
1|29.58807531|-95.47956817|6319 MARINWOOD, HOUSTON TX 77053|2017-09-26 21:11:05.800|2017-10-11 13:25:15.533|2017-09-30 21:11:05.000|Flooding|        101002771912
1|29.58812649|-95.11186426|16031 CLEARCREST, HOUSTON TX 77059|2017-09-11 16:00:35.883|2017-09-15 08:20:10.943|2017-09-15 16:00:35.000|Flooding|        101002745510
1|29.58838872|-95.19336756|12203 POMPTON, HOUSTON TX 77089|2017-08-27 02:41:07.047|2017-09-01 14:00:18.850|2017-08-31 02:41:06.000|Flooding|        101002721821
1|29.58851337|-95.196679|12022 SHERRILL, HOUSTON TX 77089|2017-09-06 05:51:10.223|2017-09-08 08:20:14.230|2017-09-10 05:51:10.000|Flooding|        101002736475
1|29.58951664|-95.22966335|11007 SAGEBURROW, HOUSTON TX 77089|2017-08-26 23:19:10.890|2017-09-06 06:20:17.483|2017-08-30 23:19:10.000|Flooding|        101002721564
